,nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
21,Luisa,0.295212353,0.070541189,1,0.980079059,0.836341068,0.50979729,0.244119746,0.234577665,0.392077356,0.045736006,0.078404582,0.248367133,0.117788226,0.222146317,0.392262141,0.393999684,0.398595513,0.364205338,0.176531264,0.915358427,0.532192199,0.26348825,0.235349807,-0.075137725,0.297985714,0.276395879,0.39807434,0.39076861,0.813377747,0.245857195
22,Luisa,0.295989262,0.077116713,1,0.974299993,0.807651373,0.487139454,0.259732496,0.252920493,0.37817405,0.051277837,0.089736215,0.251290833,0.109153763,0.19229189,0.388265173,0.399649716,0.384346144,0.35553722,0.19870162,0.916588818,0.493397764,0.286830926,0.246962064,-0.067302161,0.270611435,0.256589467,0.387245291,0.375119811,0.791049601,0.251904638
23,Nelson,0.276034804,0.051157228,1,0.952397045,0.820708873,0.479378624,0.206478319,0.213982855,0.353496339,0.053892216,0.071856287,0.215652013,0.114401037,0.209580838,0.403140386,0.367321724,0.381890612,0.333851225,0.155803735,0.81852161,0.540462055,0.282611365,0.281437126,-0.077844311,0.306460008,0.289928562,0.335008401,0.340107109,0.7271044,0.270835148
24,Nelson,0.272515462,0.03956072,1,0.962501493,0.787881337,0.450381659,0.243825353,0.225082393,0.437491455,0.018749634,0.068748657,0.168862403,0.087721217,0.250073229,0.400856634,0.387436503,0.406928043,0.333743068,0.106431586,0.909096215,0.560073372,0.235514385,0.247221484,-0.078123474,0.3202294,0.288010572,0.388599699,0.36367631,0.65503074,0.250183676
25,Noel,0.290511609,0.045195677,1,0.946883081,0.8518681,0.546005246,0.275989737,0.306511643,0.419136822,0.036417852,0.053883522,0.2993529,0.101955924,0.23948232,0.369770847,0.37185362,0.387416435,0.350614728,0.137702334,0.819803344,0.590867528,0.293568089,0.294148405,-0.080825283,0.332808645,0.316879063,0.331458152,0.356116732,0.689012437,0.295733769
26,Noel,0.272429752,0.048993044,1,0.941349726,0.84112447,0.527739448,0.268325548,0.272724621,0.403389559,0.053246049,0.07691096,0.272210773,0.094844345,0.213312623,0.386008626,0.379436885,0.387663082,0.33466645,0.183403058,0.847271083,0.538841392,0.310955024,0.312623794,-0.079869074,0.301647451,0.299179359,0.353640005,0.378499885,0.710774175,0.29478899
27,Paulo,0.29577537,0.054961456,1,0.909031083,0.769825401,0.457958504,0.282134641,0.256165379,0.432918781,0.054877029,0.085364267,0.250292612,0.134282355,0.207313219,0.40197163,0.389056495,0.37301554,0.3374765,0.146465718,0.871918601,0.550073671,0.281584098,0.290557995,-0.094510438,0.317215309,0.295207619,0.354491992,0.335525872,0.786568128,0.2627249
28,Paulo,0.295698898,0.050412355,1,0.931008819,0.793076524,0.490928748,0.305080071,0.314465409,0.446585169,0.062893082,0.088274647,0.3084327,0.144654088,0.201257862,0.419095681,0.413484128,0.407513505,0.350256072,0.176212902,0.900604302,0.55386654,0.308129909,0.302720741,-0.075471698,0.314024274,0.290298318,0.337812554,0.337812554,0.795769632,0.26803567
29,Fill,0.248395711,0.063540639,1,0.979301011,0.848168958,0.548606899,0.246527125,0.251862866,0.434170652,0.031578947,0.078947368,0.200276817,0.121166994,0.232116601,0.384535566,0.410791123,0.406554586,0.341803019,0.173763937,0.921344133,0.44794685,0.208505486,0.176651222,-0.060526316,0.243279321,0.229551975,0.437982026,0.444635616,0.836216553,0.303994446
30,Fill,0.291658377,0.061264055,1,0.932842227,0.753909557,0.429860712,0.198837646,0.21017211,0.370400579,0.019839725,0.073045642,0.186230578,0.107655776,0.231557916,0.446292483,0.425581765,0.402978657,0.38412647,0.165859259,0.849869088,0.59330444,0.205361626,0.179562079,-0.066132417,0.336451074,0.288886791,0.426951214,0.453284536,0.755668905,0.269061163
31,Victor,0.301429291,0.059462337,1,0.948698457,0.852570684,0.519220102,0.291008366,0.292978465,0.429478356,0.064101247,0.102561995,0.256404988,0.115560167,0.224445919,0.408856145,0.413121419,0.410996865,0.353213345,0.185893617,0.907135138,0.54277883,0.254557087,0.269739736,-0.076921497,0.309486291,0.283658944,0.359481714,0.370347694,0.75200613,0.240273928
